province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
ON,Mississauga East--Cooksville,35059,0.29943927881041577,0.11423058255003567,0.5679573852782018,0.018372753361346625,0,0.0,LIB,LIB,0.85860488900994603,0.565220723482526
ON,Markham--Unionville,35056,0.30642162452233207,0.1269946301698674,0.541228020519229,0.02535572478857162,0,0,LIB,LIB,0.82619253189539388,0.5495626414777968
ON,Milton,35057,0.40401025597774015,0.11373181531743998,0.45022853740230706,0.032029391302512866,0,0,LIB,LIB,0.57333572489547702,0.5996881423205046
ON,Markham--Stouffville,35054,0.3568258598500637,0.06025107211225709,0.564217143934614,0.016885364598159425,0,0.0018205595049057984,LIB,LIB,0.7966076524298763,0.6237771667283591
ON,Markham--Thornhill,35055,0.2910242685671985,0.12498821565879065,0.5576677152931159,0.026319800480894946,0,0,LIB,LIB,0.85691782867943389,0.5425876049192709
ON,London North Centre,35052,0.3071481516827811,0.15502784092317196,0.5021629760557675,0.035661031338279484,0,0.0,LIB,LIB,0.78232201356081144,0.6031760363878511
ON,London West,35053,0.3372334892721042,0.1689314480527005,0.45121194743890886,0.04262311523628633,0,0.0,LIB,LIB,0.67577402895867378,0.6677386865657976
ON,Leeds-Grenville-Thousand Islands and Rideau Lakes,35050,0.49782579961217077,0.14367824389532213,0.30647028365809287,0.052025672834414165,0,0,CON,LIB,0.77798987062183933,0.6421995650871779
ON,London--Fanshawe,35051,0.3004534469959233,0.4044410083821612,0.2632412019978987,0.031864342624016974,0,0,NDP,NDP,0.66127679434712583,0.5615297235895494
SK,Souris--Moose Mountain,47013,0.6215632524103443,0.16147591583673113,0.17383750927335578,0.043123322479568765,0,0,CON,LIB,0.96334556669777383,0.6204164734815651
SK,Saskatoon West,47012,0.31580408068389887,0.3133810388956196,0.3026031165323466,0.06821176388813499,0,0.0,CON,NDP,0.50386655472986486,0.584741207187836
SK,Saskatoon--University,47011,0.34201849367450093,0.33905789031916317,0.2893594870815742,0.029012889670275488,0,0.0005512392544861132,CON,NDP,0.50472432899002617,0.65685376026334
SK,Saskatoon--Grasswood,47010,0.4571851440606489,0.3109414898732866,0.19740061297045072,0.03309977904228432,0,0.001372974053329433,CON,NDP,0.72071760772267812,0.6848859947221536
SK,Yorkton--Melville,47014,0.5651437232306391,0.19079234547491852,0.2098477409679002,0.03277876572493624,0,0.0014374246016059108,CON,LIB,0.9223683522515187,0.6281430980133421
AB,Banff--Airdrie,48001,0.6445343453751259,0.11109649235659275,0.19685444260324747,0.04751471966503386,0,0,CON,LIB,0.96333084947644865,0.5973355161026278
AB,Bow River,48003,0.6997056157736332,0.10762904924604312,0.160353664781722,0.026894466636920716,0,0.005417203561680924,CON,LIB,0.9845130481478358,0.534987090717052
AB,Battle River--Crowfoot,48002,0.7741415371424218,0.10563582674970637,0.08417966625272004,0.029116830563540867,0,0.00692613929161101,CON,NDP,0.99625263267127107,0.6096962572038284
AB,Calgary Confederation,48005,0.3700401526638608,0.12252695738358724,0.45482211360958463,0.052610776342967236,0,0.0,LIB,LIB,0.63274328815557079,0.6146135967460779
